"Year","Reapplication status","Age group","Gender","Domicile","Applicants"
"2018","First time applicant","20","Woman","England","180"
"2019","First time applicant","20","Woman","England","230"
"2020","First time applicant","20","Woman","England","240"
"2021","First time applicant","20","Woman","England","270"
"2022","First time applicant","20","Woman","England","300"
"2023","First time applicant","20","Woman","England","270"
"2024","First time applicant","20","Woman","England","280"
"2025","First time applicant","20","Woman","England","260"
"2026","First time applicant","20","Woman","England","270"
"2017","Reapplier","20","Woman","England","90"
"2018","Reapplier","20","Woman","England","110"
"2019","Reapplier","20","Woman","England","150"
"2020","Reapplier","20","Woman","England","180"
"2021","Reapplier","20","Woman","England","280"
"2022","Reapplier","20","Woman","England","360"
"2023","Reapplier","20","Woman","England","280"
"2024","Reapplier","20","Woman","England","240"
"2025","Reapplier","20","Woman","England","230"
"2026","Reapplier","20","Woman","England","270"
"2017","First time applicant","21 - 24","Woman","England","1580"
"2018","First time applicant","21 - 24","Woman","England","1740"
"2019","First time applicant","21 - 24","Woman","England","1770"
"2020","First time applicant","21 - 24","Woman","England","1840"
"2021","First time applicant","21 - 24","Woman","England","2380"
"2022","First time applicant","21 - 24","Woman","England","2150"
"2023","First time applicant","21 - 24","Woman","England","1700"
"2024","First time applicant","21 - 24","Woman","England","1550"
"2025","First time applicant","21 - 24","Woman","England","1700"
"2026","First time applicant","21 - 24","Woman","England","2030"
"2017","Reapplier","21 - 24","Woman","England","470"
"2018","Reapplier","21 - 24","Woman","England","450"
"2019","Reapplier","21 - 24","Woman","England","470"
"2020","Reapplier","21 - 24","Woman","England","460"
"2021","Reapplier","21 - 24","Woman","England","610"
"2022","Reapplier","21 - 24","Woman","England","770"
"2023","Reapplier","21 - 24","Woman","England","700"
"2024","Reapplier","21 - 24","Woman","England","540"
"2025","Reapplier","21 - 24","Woman","England","490"
"2026","Reapplier","21 - 24","Woman","England","480"
"2017","First time applicant","25 - 29","Woman","England","440"
"2018","First time applicant","25 - 29","Woman","England","490"
"2019","First time applicant","25 - 29","Woman","England","500"
"2020","First time applicant","25 - 29","Woman","England","530"
"2021","First time applicant","25 - 29","Woman","England","760"
"2022","First time applicant","25 - 29","Woman","England","580"
"2023","First time applicant","25 - 29","Woman","England","450"
"2024","First time applicant","25 - 29","Woman","England","440"
"2025","First time applicant","25 - 29","Woman","England","500"
"2026","First time applicant","25 - 29","Woman","England","610"
"2017","Reapplier","25 - 29","Woman","England","250"
"2018","Reapplier","25 - 29","Woman","England","200"
"2019","Reapplier","25 - 29","Woman","England","230"
"2020","Reapplier","25 - 29","Woman","England","230"
"2021","Reapplier","25 - 29","Woman","England","250"
"2022","Reapplier","25 - 29","Woman","England","330"
"2023","Reapplier","25 - 29","Woman","England","310"
"2024","Reapplier","25 - 29","Woman","England","230"
"2025","Reapplier","25 - 29","Woman","England","210"
"2026","Reapplier","25 - 29","Woman","England","200"
"2017","First time applicant","30 - 34","Woman","England","110"
"2018","First time applicant","30 - 34","Woman","England","130"
"2019","First time applicant","30 - 34","Woman","England","140"
"2020","First time applicant","30 - 34","Woman","England","160"
"2021","First time applicant","30 - 34","Woman","England","190"
"2022","First time applicant","30 - 34","Woman","England","180"
"2023","First time applicant","30 - 34","Woman","England","150"
"2024","First time applicant","30 - 34","Woman","England","150"
"2025","First time applicant","30 - 34","Woman","England","150"
"2026","First time applicant","30 - 34","Woman","England","180"
"2017","Reapplier","30 - 34","Woman","England","60"
"2018","Reapplier","30 - 34","Woman","England","50"
"2019","Reapplier","30 - 34","Woman","England","50"
"2020","Reapplier","30 - 34","Woman","England","50"
"2021","Reapplier","30 - 34","Woman","England","70"
"2022","Reapplier","30 - 34","Woman","England","90"
"2023","Reapplier","30 - 34","Woman","England","70"
"2024","Reapplier","30 - 34","Woman","England","60"
"2025","Reapplier","30 - 34","Woman","England","50"
"2026","Reapplier","30 - 34","Woman","England","40"
"2017","First time applicant","35 and over","Woman","England","120"
"2018","First time applicant","35 and over","Woman","England","140"
"2019","First time applicant","35 and over","Woman","England","150"
"2020","First time applicant","35 and over","Woman","England","130"
"2021","First time applicant","35 and over","Woman","England","200"
"2022","First time applicant","35 and over","Woman","England","150"
"2023","First time applicant","35 and over","Woman","England","150"
"2024","First time applicant","35 and over","Woman","England","170"
"2025","First time applicant","35 and over","Woman","England","150"
"2026","First time applicant","35 and over","Woman","England","190"
"2017","Reapplier","35 and over","Woman","England","40"
"2018","Reapplier","35 and over","Woman","England","40"
"2019","Reapplier","35 and over","Woman","England","50"
"2020","Reapplier","35 and over","Woman","England","50"
"2021","Reapplier","35 and over","Woman","England","60"
"2022","Reapplier","35 and over","Woman","England","70"
"2023","Reapplier","35 and over","Woman","England","60"
"2024","Reapplier","35 and over","Woman","England","50"
"2025","Reapplier","35 and over","Woman","England","50"
"2026","Reapplier","35 and over","Woman","England","60"
"2017","First time applicant","17 and under","Man","England","120"
"2018","First time applicant","17 and under","Man","England","120"
"2019","First time applicant","17 and under","Man","England","100"
"2020","First time applicant","17 and under","Man","England","90"
"2021","First time applicant","17 and under","Man","England","100"
"2022","First time applicant","17 and under","Man","England","120"
"2023","First time applicant","17 and under","Man","England","100"
"2024","First time applicant","17 and under","Man","England","100"
"2025","First time applicant","17 and under","Man","England","90"
"2026","First time applicant","17 and under","Man","England","80"
"2017","Reapplier","17 and under","Man","England","10"
"2017","First time applicant","18","Man","England","12240"
"2018","First time applicant","18","Man","England","12930"
"2019","First time applicant","18","Man","England","13830"
"2020","First time applicant","18","Man","England","14680"
"2021","First time applicant","18","Man","England","15690"
"2022","First time applicant","18","Man","England","15850"
"2023","First time applicant","18","Man","England","15730"
"2024","First time applicant","18","Man","England","16030"
"2025","First time applicant","18","Man","England","16030"
"2026","First time applicant","18","Man","England","16970"
"2017","Reapplier","18","Man","England","10"
"2018","Reapplier","18","Man","England","20"
"2019","Reapplier","18","Man","England","20"
"2020","Reapplier","18","Man","England","20"
"2021","Reapplier","18","Man","England","20"
"2022","Reapplier","18","Man","England","30"
"2023","Reapplier","18","Man","England","20"
"2024","Reapplier","18","Man","England","20"
"2025","Reapplier","18","Man","England","20"
"2026","Reapplier","18","Man","England","20"
"2017","First time applicant","19","Man","England","670"
"2018","First time applicant","19","Man","England","620"
"2019","First time applicant","19","Man","England","600"
"2020","First time applicant","19","Man","England","670"
"2021","First time applicant","19","Man","England","640"
"2022","First time applicant","19","Man","England","610"
"2023","First time applicant","19","Man","England","660"
"2024","First time applicant","19","Man","England","650"
"2025","First time applicant","19","Man","England","690"
"2026","First time applicant","19","Man","England","680"
"2017","Reapplier","19","Man","England","1120"
"2018","Reapplier","19","Man","England","1150"
"2019","Reapplier","19","Man","England","1270"
"2020","Reapplier","19","Man","England","1300"
"2021","Reapplier","19","Man","England","1660"
"2022","Reapplier","19","Man","England","1920"
"2023","Reapplier","19","Man","England","1900"
"2024","Reapplier","19","Man","England","1420"
"2025","Reapplier","19","Man","England","1540"
"2026","Reapplier","19","Man","England","1670"
"2017","First time applicant","20","Man","England","120"
"2018","First time applicant","20","Man","England","150"
"2019","First time applicant","20","Man","England","140"
"2020","First time applicant","20","Man","England","160"
"2021","First time applicant","20","Man","England","170"
"2022","First time applicant","20","Man","England","180"
"2023","First time applicant","20","Man","England","190"
"2024","First time applicant","20","Man","England","180"
"2025","First time applicant","20","Man","England","170"
"2026","First time applicant","20","Man","England","190"
"2017","Reapplier","20","Man","England","90"
"2018","Reapplier","20","Man","England","110"
"2019","Reapplier","20","Man","England","120"
"2020","Reapplier","20","Man","England","140"
"2021","Reapplier","20","Man","England","200"
"2022","Reapplier","20","Man","England","230"
"2023","Reapplier","20","Man","England","230"
"2024","Reapplier","20","Man","England","170"
"2025","Reapplier","20","Man","England","190"
"2026","Reapplier","20","Man","England","220"
"2017","First time applicant","21 - 24","Man","England","1050"
"2018","First time applicant","21 - 24","Man","England","1050"
"2019","First time applicant","21 - 24","Man","England","1020"
"2020","First time applicant","21 - 24","Man","England","990"
"2021","First time applicant","21 - 24","Man","England","1170"
"2022","First time applicant","21 - 24","Man","England","1020"
"2023","First time applicant","21 - 24","Man","England","810"
"2024","First time applicant","21 - 24","Man","England","760"
"2025","First time applicant","21 - 24","Man","England","840"
"2026","First time applicant","21 - 24","Man","England","910"
"2017","Reapplier","21 - 24","Man","England","330"
"2018","Reapplier","21 - 24","Man","England","290"
"2019","Reapplier","21 - 24","Man","England","310"
"2020","Reapplier","21 - 24","Man","England","310"
"2021","Reapplier","21 - 24","Man","England","330"
"2022","Reapplier","21 - 24","Man","England","450"
